ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
40,Serge Ibaka,26.0,OKC,PF,78,78,2500.0,0.479,13.6,0.788,0.196,0.129,0.123,0.341,0.212,.520,.671,.500,.486,.453,.326,0.837,0.983,0.075,61,0.527,.351,0,0,
41,Jimmy Butler,26.0,CHI,SG,67,67,2474.0,0.454,12.0,0.802,0.313,0.12,0.131,0.236,0.198,.489,.673,.363,.360,.385,.312,0.441,0.719,0.071,69,0.176,.361,6,1,"DPOY-11,AS,DEF2"
42,Brook Lopez,27.0,BRK,C,73,73,2457.0,0.511,7.8,0.988,0.324,0.323,0.189,0.152,0.012,.515,.637,.476,.452,.415,.143,0.591,1.0,0.05,53,0.214,.000,0,0,
43,Nicolas Batum,27.0,CHO,SF,70,70,2448.0,0.426,17.2,0.543,0.151,0.055,0.12,0.215,0.457,.492,.697,.396,.438,.404,.348,0.429,0.784,0.025,21,0.108,.372,1,0,
44,Gary Harris,21.0,DEN,SG,76,76,2439.0,0.469,13.1,0.612,0.358,0.08,0.075,0.099,0.388,.543,.613,.410,.456,.461,.354,0.622,0.943,0.058,41,0.343,.343,1,0,
45,Reggie Jackson,25.0,DET,PG,79,79,2424.0,0.434,11.9,0.732,0.28,0.219,0.122,0.109,0.268,.464,.575,.381,.480,.331,.353,0.064,0.415,0.011,13,0.117,.385,2,0,
46,Kevin Love,27.0,CLE,PF,77,77,2424.0,0.419,15.2,0.551,0.173,0.19,0.084,0.104,0.449,.467,.550,.452,.341,.451,.360,0.602,0.987,0.023,20,0.303,.398,0,0,
47,Chris Paul,30.0,LAC,PG,74,74,2420.0,0.462,15.8,0.705,0.121,0.121,0.184,0.278,0.295,.501,.615,.504,.527,.432,.371,0.115,0.336,0.002,2,0.116,.342,1,0,"MVP-6,DPOY-13,AS,NBA2,DEF1"
48,Jabari Parker,20.0,MIL,PF,76,72,2408.0,0.493,7.7,0.961,0.461,0.15,0.14,0.21,0.039,.502,.657,.356,.397,.339,.257,0.719,0.778,0.154,129,0.514,.278,0,0,
49,Thaddeus Young,27.0,BRK,PF,73,73,2407.0,0.514,6.6,0.969,0.388,0.388,0.053,0.139,0.031,.523,.612,.497,.333,.418,.233,0.559,0.714,0.03,27,0.3,.111,2,0,
50,Kyle Korver,34.0,ATL,SG,80,80,2401.0,0.435,20.7,0.356,0.058,0.021,0.054,0.222,0.644,.502,.639,.308,.576,.467,.398,0.864,0.975,0.002,1,0.224,.449,0,0,
51,Luol Deng,30.0,MIA,PF,74,73,2394.0,0.455,13.0,0.656,0.305,0.136,0.059,0.16,0.344,.513,.670,.446,.205,.378,.344,0.622,1.0,0.035,26,0.539,.362,1,0,
52,Kawhi Leonard,24.0,SAS,SF,72,72,2380.0,0.506,13.3,0.733,0.207,0.148,0.201,0.178,0.267,.528,.730,.472,.498,.376,.443,0.45,0.86,0.061,64,0.22,.484,0,0,"MVP-2,DPOY-1,AS,NBA1,DEF1"
53,Victor Oladipo,23.0,ORL,SG,72,52,2379.0,0.438,13.5,0.709,0.298,0.082,0.1,0.23,0.291,.475,.574,.313,.402,.435,.348,0.388,0.806,0.042,33,0.262,.405,4,0,
54,Rudy Gay,29.0,SAC,SF,70,70,2379.0,0.463,11.1,0.786,0.267,0.248,0.135,0.136,0.214,.495,.651,.384,.471,.416,.344,0.528,0.824,0.088,78,0.279,.400,1,0,
55,Arron Afflalo,30.0,NYK,SG,71,57,2371.0,0.443,14.8,0.702,0.115,0.178,0.193,0.217,0.298,.469,.609,.458,.455,.416,.382,0.49,0.912,0.003,2,0.424,.446,0,0,
56,Dirk Nowitzki,37.0,DAL,PF,75,75,2364.0,0.448,16.6,0.692,0.075,0.068,0.261,0.289,0.308,.483,.735,.329,.476,.461,.368,0.632,0.984,0.004,5,0.102,.314,0,0,
57,Goran Dragić,29.0,MIA,PG,72,72,2363.0,0.477,11.3,0.766,0.328,0.142,0.169,0.127,0.234,.527,.666,.387,.426,.459,.312,0.252,0.75,0.001,1,0.244,.260,0,0,
58,J.R. Smith,30.0,CLE,SG,77,77,2362.0,0.415,19.1,0.4,0.081,0.109,0.073,0.135,0.6,.438,.623,.398,.387,.391,.400,0.43,0.926,0.013,11,0.241,.390,1,0,
59,Will Barton,25.0,DEN,SG,82,1,2353.0,0.432,12.6,0.669,0.297,0.181,0.091,0.103,0.331,.476,.599,.399,.393,.327,.345,0.387,0.795,0.048,46,0.138,.333,5,0,6MOY-4
60,Al-Farouq Aminu,25.0,POR,SF,82,82,2341.0,0.416,14.9,0.515,0.252,0.121,0.047,0.095,0.485,.468,.597,.299,.382,.382,.361,0.595,0.921,0.061,42,0.41,.392,1,0,
61,Marvin Williams,29.0,CHO,PF,81,81,2338.0,0.452,16.0,0.494,0.214,0.124,0.048,0.106,0.506,.504,.538,.527,.556,.392,.402,0.591,0.993,0.02,12,0.27,.461,1,0,
62,Courtney Lee,30.0,2TM,SG,79,65,2334.0,0.454,15.2,0.66,0.191,0.091,0.136,0.243,0.34,.493,.607,.466,.414,.458,.378,0.606,1.0,0.006,3,0.369,.325,1,0,
62,Courtney Lee,30.0,MEM,SG,51,37,1489.0,0.458,15.0,0.671,0.172,0.105,0.153,0.241,0.329,.502,.597,.568,.406,.465,.370,0.631,1.0,0.01,3,0.399,.255,0,0,
62,Courtney Lee,30.0,CHO,SG,28,28,845.0,0.445,15.5,0.641,0.227,0.064,0.105,0.245,0.359,.475,.620,.143,.435,.444,.392,0.552,1.0,0.0,0,0.316,.480,1,0,
63,Ricky Rubio,25.0,MIN,PG,76,76,2323.0,0.374,15.8,0.676,0.205,0.053,0.082,0.336,0.324,.396,.517,.258,.229,.386,.326,0.268,0.903,0.0,0,0.195,.432,1,0,
64,Greg Monroe,25.0,MIL,C,79,67,2314.0,0.522,4.1,0.999,0.542,0.324,0.067,0.065,0.001,.522,.596,.446,.429,.393,.000,0.57,0.0,0.021,19,0.0,,0,0,
65,Jae Crowder,25.0,BOS,SF,73,73,2308.0,0.443,15.1,0.554,0.274,0.075,0.064,0.139,0.446,.529,.704,.246,.346,.416,.336,0.756,0.943,0.023,19,0.226,.329,1,0,DPOY-13
66,Zach LaVine,20.0,MIN,SG,82,33,2294.0,0.452,14.3,0.67,0.277,0.09,0.055,0.249,0.33,.482,.677,.349,.302,.351,.389,0.416,0.732,0.059,52,0.149,.468,0,0,6MOY-14
67,Pau Gasol,35.0,CHI,C,72,72,2291.0,0.469,11.1,0.931,0.245,0.192,0.167,0.327,0.069,.478,.566,.435,.452,.452,.348,0.668,0.958,0.025,24,0.362,.320,0,0,AS
68,Julius Randle,21.0,LAL,PF,81,60,2286.0,0.429,6.7,0.957,0.474,0.248,0.079,0.156,0.043,.436,.568,.362,.227,.254,.278,0.451,0.7,0.077,60,0.111,.000,0,0,
69,Dwight Howard,30.0,HOU,C,71,71,2280.0,0.62,2.6,0.99,0.658,0.322,0.008,0.003,0.01,.626,.752,.378,.400,.000,.000,0.71,0.0,0.318,176,0.0,,2,0,
70,Otto Porter Jr.,22.0,WAS,SF,75,73,2276.0,0.473,15.2,0.628,0.244,0.077,0.084,0.225,0.372,.536,.674,.364,.450,.472,.367,0.68,0.969,0.028,18,0.36,.385,2,0,
71,Evan Turner,27.0,BOS,SG,81,12,2271.0,0.456,10.6,0.89,0.264,0.162,0.311,0.153,0.11,.482,.638,.418,.427,.391,.241,0.303,0.95,0.013,8,0.494,.341,1,0,6MOY-5
72,Tristan Thompson,24.0,CLE,PF,82,34,2269.0,0.588,2.4,1.0,0.695,0.26,0.036,0.01,0.0,.588,.671,.413,.400,.000,,0.7,0.0,0.255,98,0.0,,0,0,6MOY-10
73,LaMarcus Aldridge,30.0,SAS,PF,74,74,2261.0,0.513,10.0,0.985,0.279,0.191,0.211,0.303,0.015,.521,.733,.465,.427,.426,.000,0.66,0.0,0.047,47,0.5,.000,0,0,"AS,NBA3"
74,D'Angelo Russell,19.0,LAL,PG,80,48,2259.0,0.41,15.3,0.613,0.189,0.129,0.144,0.151,0.387,.447,.586,.463,.341,.361,.351,0.271,0.692,0.002,2,0.143,.358,7,0,ROY-9
75,Dwyane Wade,34.0,MIA,SG,74,73,2258.0,0.456,9.6,0.963,0.295,0.23,0.179,0.259,0.037,.468,.648,.430,.340,.386,.159,0.278,0.714,0.03,36,0.136,.333,3,1,AS
76,Marcin Gortat,31.0,WAS,C,75,74,2256.0,0.567,5.3,0.999,0.452,0.313,0.195,0.039,0.001,.567,.704,.490,.403,.433,.000,0.794,0.0,0.067,48,0.0,,0,0,
77,Jeff Teague,27.0,ATL,PG,79,78,2255.0,0.439,11.0,0.723,0.372,0.156,0.098,0.094,0.277,.454,.563,.338,.412,.269,.401,0.167,0.636,0.005,4,0.106,.448,0,0,
78,Jeff Green,29.0,2TM,SF,80,41,2253.0,0.43,11.3,0.742,0.308,0.218,0.09,0.125,0.258,.470,.602,.344,.486,.350,.315,0.401,0.896,0.063,47,0.343,.329,4,0,
78,Jeff Green,29.0,MEM,SF,53,31,1544.0,0.431,11.3,0.756,0.314,0.206,0.102,0.133,0.244,.470,.583,.383,.491,.324,.309,0.399,0.833,0.072,35,0.287,.333,4,0,
78,Jeff Green,29.0,LAC,SF,27,10,709.0,0.427,11.4,0.712,0.296,0.243,0.064,0.109,0.288,.468,.646,.277,.471,.414,.325,0.404,1.0,0.045,12,0.442,.324,0,0,
79,DeMarcus Cousins,25.0,SAC,C,65,65,2246.0,0.451,9.2,0.842,0.36,0.286,0.035,0.161,0.158,.473,.595,.412,.255,.358,.333,0.55,1.0,0.062,73,0.033,.286,1,0,"AS,NBA2"
80,Ish Smith,27.0,2TM,PG,77,53,2239.0,0.411,10.4,0.824,0.333,0.188,0.104,0.199,0.176,.428,.550,.341,.356,.344,.329,0.188,0.589,0.009,7,0.118,.400,1,0,
80,Ish Smith,27.0,NOP,PG,27,3,617.0,0.43,9.5,0.855,0.382,0.206,0.079,0.189,0.145,.451,.598,.340,.389,.302,.303,0.159,0.7,0.004,1,0.242,.375,0,0,
80,Ish Smith,27.0,PHI,PG,50,50,1622.0,0.405,11.2,0.815,0.318,0.183,0.112,0.202,0.185,.420,.532,.341,.349,.356,.336,0.198,0.565,0.011,6,0.088,.417,1,0,
81,Justise Winslow,19.0,MIA,SF,78,8,2232.0,0.422,10.5,0.749,0.392,0.175,0.039,0.145,0.251,.471,.575,.383,.278,.358,.276,0.589,0.969,0.045,19,0.716,.277,2,0,ROY-6
82,Gorgui Dieng,26.0,MIN,C,82,39,2220.0,0.532,8.2,0.965,0.387,0.197,0.157,0.223,0.035,.540,.710,.395,.462,.434,.300,0.712,1.0,0.131,69,0.65,.385,0,0,
83,Robin Lopez,27.0,NYK,C,82,82,2219.0,0.539,4.6,0.998,0.456,0.394,0.1,0.048,0.002,.540,.619,.529,.333,.313,.000,0.524,0.0,0.069,44,1.0,.000,0,0,
84,Darren Collison,28.0,SAC,PG,74,15,2219.0,0.486,13.3,0.72,0.272,0.133,0.094,0.222,0.28,.519,.645,.398,.493,.448,.401,0.345,0.77,0.005,4,0.3,.462,2,0,6MOY-15
85,Raymond Felton,31.0,DAL,PG,80,31,2192.0,0.406,13.8,0.688,0.217,0.198,0.073,0.199,0.312,.463,.635,.400,.380,.368,.282,0.207,0.733,0.0,0,0.178,.263,2,0,
86,Matt Barnes,35.0,MEM,SF,76,45,2190.0,0.381,15.4,0.466,0.27,0.107,0.029,0.061,0.534,.449,.561,.311,.400,.214,.322,0.634,0.941,0.013,8,0.284,.305,3,0,
87,Anthony Davis,22.0,NOP,C,61,61,2164.0,0.493,10.3,0.905,0.299,0.195,0.165,0.246,0.095,.511,.697,.396,.420,.434,.324,0.728,0.943,0.146,147,0.213,.261,2,0,"DPOY-9,AS"
88,Hollis Thompson,24.0,PHI,SG,77,17,2154.0,0.397,17.8,0.424,0.146,0.103,0.062,0.112,0.576,.420,.576,.371,.357,.303,.380,0.645,0.973,0.004,3,0.306,.450,1,0,
89,Dion Waiters,24.0,OKC,SG,78,15,2152.0,0.399,13.9,0.66,0.286,0.076,0.065,0.229,0.34,.421,.515,.333,.435,.333,.358,0.306,0.872,0.025,16,0.4,.385,0,0,
90,Elfrid Payton,21.0,ORL,PG,73,69,2145.0,0.436,8.8,0.874,0.411,0.212,0.104,0.147,0.126,.451,.583,.381,.355,.252,.326,0.285,0.933,0.016,9,0.283,.308,1,0,
91,Jamal Crawford,35.0,LAC,SG,79,5,2126.0,0.404,16.8,0.634,0.099,0.134,0.16,0.241,0.366,.440,.613,.468,.387,.389,.340,0.26,0.735,0.001,1,0.23,.418,6,0,6MOY-1
92,Hassan Whiteside,26.0,MIA,C,73,43,2125.0,0.606,4.7,1.0,0.503,0.317,0.104,0.075,0.0,.606,.773,.435,.437,.431,,0.659,0.0,0.224,148,0.0,,0,0,"DPOY-3,DEF2"
93,Bojan Bogdanović,26.0,BRK,SF,79,39,2115.0,0.433,14.3,0.549,0.258,0.147,0.076,0.069,0.451,.474,.601,.336,.316,.462,.382,0.59,0.907,0.024,17,0.402,.426,0,0,
94,Devin Booker,19.0,PHO,SG,76,51,2108.0,0.423,14.6,0.667,0.212,0.129,0.106,0.219,0.333,.464,.641,.411,.370,.368,.343,0.455,0.788,0.012,9,0.194,.375,1,0,ROY-4
95,Deron Williams,31.0,DAL,PG,65,63,2106.0,0.414,14.8,0.636,0.164,0.183,0.111,0.178,0.364,.454,.591,.401,.407,.413,.344,0.241,0.804,0.001,1,0.184,.481,2,0,
96,Allen Crabbe,23.0,POR,SG,81,8,2105.0,0.459,17.2,0.58,0.133,0.069,0.109,0.27,0.42,.506,.711,.362,.514,.443,.393,0.769,0.964,0.019,11,0.302,.430,1,0,6MOY-16
97,Jared Dudley,30.0,WAS,PF,81,41,2098.0,0.478,18.7,0.511,0.127,0.027,0.057,0.298,0.489,.534,.758,.385,.464,.469,.420,0.872,1.0,0.0,0,0.244,.483,0,0,
98,JJ Redick,31.0,LAC,SG,75,75,2097.0,0.48,19.5,0.522,0.074,0.06,0.05,0.339,0.478,.484,.631,.453,.364,.473,.475,0.833,0.94,0.0,0,0.159,.552,0,0,
99,Derrick Rose,27.0,CHI,PG,66,66,2097.0,0.427,10.7,0.857,0.3,0.205,0.16,0.191,0.143,.449,.510,.423,.476,.360,.293,0.223,0.909,0.001,1,0.147,.318,2,0,
100,Mason Plumlee,25.0,POR,C,82,82,2084.0,0.516,3.6,0.992,0.619,0.282,0.058,0.033,0.008,.520,.631,.342,.333,.294,.000,0.689,0.0,0.184,86,0.0,,2,0,
101,Kent Bazemore,26.0,ATL,SF,75,68,2083.0,0.441,12.7,0.579,0.39,0.08,0.026,0.083,0.421,.502,.594,.276,.368,.333,.357,0.536,0.927,0.029,15,0.384,.410,1,0,
102,Emmanuel Mudiay,19.0,DEN,PG,68,66,2068.0,0.364,12.7,0.744,0.293,0.117,0.146,0.186,0.256,.379,.475,.292,.311,.339,.319,0.286,0.73,0.018,14,0.078,.278,1,0,ROY-7
103,Jerami Grant,21.0,PHI,PF,77,52,2066.0,0.419,8.4,0.756,0.491,0.184,0.047,0.035,0.244,.477,.619,.209,.179,.286,.240,0.685,1.0,0.137,73,0.5,.288,0,0,
104,Danny Green,28.0,SAS,SG,79,79,2062.0,0.376,18.3,0.378,0.166,0.05,0.064,0.094,0.622,.448,.602,.250,.361,.340,.332,0.716,0.966,0.018,6,0.312,.294,3,0,
105,Jeremy Lin,27.0,CHO,SG,78,13,2048.0,0.412,13.0,0.69,0.305,0.13,0.088,0.166,0.31,.446,.568,.379,.344,.331,.336,0.348,0.816,0.001,1,0.102,.391,0,0,6MOY-7
106,Kristaps Porziņģis,20.0,NYK,PF,72,72,2047.0,0.421,13.2,0.726,0.216,0.184,0.167,0.159,0.274,.454,.576,.356,.405,.454,.333,0.586,0.988,0.064,52,0.099,.292,1,0,ROY-2
107,Cory Joseph,24.0,TOR,SG,80,4,2046.0,0.439,10.9,0.812,0.297,0.239,0.111,0.164,0.188,.478,.615,.400,.385,.406,.273,0.189,0.967,0.0,0,0.309,.441,1,0,
108,Harrison Barnes,23.0,GSW,SF,66,59,2042.0,0.466,13.9,0.662,0.227,0.147,0.104,0.183,0.338,.508,.625,.409,.394,.509,.383,0.634,0.988,0.093,54,0.444,.358,0,0,
109,Patrick Beverley,27.0,HOU,PG,71,63,2041.0,0.434,15.3,0.478,0.197,0.175,0.059,0.047,0.522,.472,.581,.365,.457,.429,.400,0.351,0.839,0.003,2,0.416,.403,0,0,
110,Nikola Vučević,25.0,ORL,C,65,60,2037.0,0.51,9.8,0.991,0.247,0.279,0.166,0.299,0.009,.512,.616,.500,.431,.482,.222,0.61,0.5,0.032,29,0.0,,1,0,
111,Langston Galloway,24.0,NYK,PG,82,7,2033.0,0.393,15.4,0.619,0.235,0.097,0.06,0.228,0.381,.423,.580,.421,.371,.276,.344,0.468,0.844,0.003,2,0.263,.475,6,0,
112,José Calderón,34.0,NYK,PG,72,72,2024.0,0.459,18.4,0.554,0.099,0.029,0.114,0.312,0.446,.496,.644,.538,.404,.479,.414,0.304,0.869,0.0,0,0.133,.481,0,0,
113,Patrick Patterson,26.0,TOR,PF,79,0,2020.0,0.414,17.2,0.406,0.124,0.152,0.087,0.043,0.594,.490,.525,.560,.349,.429,.362,0.5,0.991,0.037,16,0.386,.372,0,0,6MOY-16
114,Zach Randolph,34.0,MEM,PF,68,53,2016.0,0.475,8.6,0.971,0.314,0.31,0.103,0.245,0.029,.482,.604,.423,.462,.410,.231,0.478,0.833,0.001,1,0.077,.500,3,0,
115,Steven Adams,22.0,OKC,C,80,80,2014.0,0.613,2.2,1.0,0.721,0.258,0.016,0.005,0.0,.613,.655,.500,.571,.500,,0.762,0.0,0.277,101,0.0,,0,0,
116,Ryan Anderson,27.0,NOP,PF,66,7,2008.0,0.427,15.3,0.615,0.227,0.097,0.112,0.179,0.385,.466,.521,.433,.375,.470,.366,0.444,0.924,0.02,16,0.165,.322,5,0,6MOY-6
117,Zaza Pachulia,31.0,DAL,C,76,69,2004.0,0.466,5.9,0.994,0.523,0.2,0.147,0.123,0.006,.469,.589,.383,.290,.310,.000,0.68,0.0,0.03,13,0.0,,3,0,
118,Derrick Favors,24.0,UTA,PF,62,59,1983.0,0.515,7.7,0.995,0.38,0.21,0.249,0.157,0.005,.518,.714,.453,.391,.331,.000,0.646,0.0,0.107,85,0.0,,2,0,
119,Tony Parker,33.0,SAS,PG,72,72,1980.0,0.493,10.5,0.908,0.311,0.173,0.141,0.285,0.092,.501,.615,.431,.420,.455,.415,0.279,0.815,0.0,0,0.692,.356,0,0,
120,Dante Cunningham,28.0,NOP,SF,80,46,1971.0,0.451,14.5,0.578,0.296,0.083,0.039,0.163,0.422,.550,.705,.235,.500,.433,.316,0.855,1.0,0.066,24,0.615,.336,2,0,
121,Isaiah Canaan,24.0,PHI,SG,77,39,1966.0,0.36,19.0,0.328,0.13,0.096,0.047,0.057,0.672,.354,.489,.261,.294,.244,.363,0.417,0.744,0.0,0,0.198,.406,0,0,
122,Nerlens Noel,21.0,PHI,C,67,62,1965.0,0.521,5.1,0.997,0.545,0.228,0.106,0.118,0.003,.521,.716,.306,.306,.232,.500,0.669,1.0,0.278,151,0.0,,0,0,
123,Garrett Temple,29.0,WAS,SF,80,43,1951.0,0.398,15.7,0.489,0.261,0.071,0.046,0.113,0.511,.453,.561,.306,.348,.333,.345,0.571,0.944,0.026,13,0.457,.364,1,0,
124,Taj Gibson,30.0,CHI,PF,73,55,1936.0,0.526,5.8,0.994,0.524,0.188,0.16,0.124,0.006,.529,.630,.447,.388,.403,.000,0.643,0.0,0.152,71,0.0,,0,0,
125,Rudy Gobert,23.0,UTA,C,61,60,1932.0,0.559,1.8,1.0,0.802,0.175,0.006,0.017,0.0,.559,.641,.226,.000,.333,,0.626,0.0,0.297,96,0.0,,0,0,DPOY-7
126,Jared Sullinger,23.0,BOS,PF,81,73,1915.0,0.435,11.3,0.872,0.292,0.202,0.092,0.287,0.128,.458,.591,.399,.351,.398,.282,0.609,1.0,0.009,7,0.019,.500,2,0,
127,Lou Williams,29.0,LAL,SG,67,35,1907.0,0.408,16.3,0.538,0.153,0.126,0.121,0.14,0.462,.464,.594,.437,.345,.443,.344,0.295,0.655,0.009,4,0.259,.361,1,0,
128,Robert Covington,25.0,PHI,SF,67,49,1903.0,0.385,18.5,0.323,0.19,0.083,0.027,0.024,0.677,.452,.593,.237,.211,.353,.353,0.558,0.947,0.015,9,0.137,.333,3,1,
129,Ersan İlyasova,28.0,2TM,PF,74,56,1881.0,0.424,13.2,0.608,0.292,0.124,0.05,0.144,0.392,.458,.570,.317,.394,.368,.371,0.641,0.927,0.003,1,0.131,.353,0,0,
129,Ersan İlyasova,28.0,DET,PF,52,52,1434.0,0.425,14.6,0.577,0.266,0.126,0.049,0.136,0.423,.471,.593,.297,.440,.406,.363,0.638,0.936,0.002,0,0.14,.333,0,0,
129,Ersan İlyasova,28.0,ORL,PF,22,4,447.0,0.418,11.8,0.712,0.379,0.118,0.052,0.17,0.288,.422,.517,.389,.250,.269,.409,0.652,0.889,0.007,1,0.091,.500,0,0,
130,Omri Casspi,27.0,SAC,PF,69,21,1880.0,0.481,13.0,0.559,0.28,0.256,0.023,0.003,0.441,.537,.661,.440,.214,.000,.409,0.663,0.857,0.05,29,0.168,.435,1,0,
131,Roy Hibbert,29.0,LAL,C,81,81,1878.0,0.443,8.3,0.995,0.297,0.299,0.146,0.253,0.005,.445,.623,.341,.383,.394,.000,0.61,0.0,0.085,33,0.0,,0,0,
132,Brandon Knight,24.0,PHO,SG,52,50,1870.0,0.415,15.5,0.608,0.199,0.132,0.068,0.21,0.392,.461,.624,.407,.361,.372,.342,0.251,0.608,0.006,5,0.134,.468,1,0,
133,Matthew Dellavedova,25.0,CLE,PG,76,14,1867.0,0.405,15.9,0.532,0.092,0.241,0.135,0.065,0.468,.401,.489,.398,.304,.485,.410,0.321,0.806,0.0,0,0.172,.488,0,0,
134,Aaron Gordon,20.0,ORL,PF,78,37,1863.0,0.473,10.3,0.755,0.454,0.105,0.086,0.112,0.245,.531,.654,.344,.340,.338,.296,0.517,0.976,0.131,72,0.38,.315,5,0,
135,Kobe Bryant,37.0,LAL,SF,66,66,1863.0,0.358,17.3,0.58,0.093,0.102,0.173,0.213,0.42,.410,.644,.398,.411,.312,.285,0.328,0.692,0.004,5,0.126,.322,1,0,AS
136,Doug McDermott,24.0,CHI,SF,81,4,1861.0,0.452,14.5,0.598,0.242,0.126,0.093,0.137,0.402,.470,.577,.370,.467,.375,.425,0.757,0.982,0.019,12,0.282,.411,0,0,
137,Danilo Gallinari,27.0,DEN,SF,53,53,1839.0,0.41,14.5,0.659,0.297,0.071,0.061,0.226,0.341,.434,.538,.240,.302,.399,.364,0.46,0.885,0.061,40,0.121,.345,3,1,
138,Jrue Holiday,25.0,NOP,PG,65,23,1831.0,0.439,12.3,0.723,0.29,0.164,0.149,0.121,0.277,.478,.576,.418,.446,.363,.336,0.207,0.517,0.011,10,0.127,.212,2,1,6MOY-16
139,Alex Len,22.0,PHO,C,78,46,1821.0,0.423,6.9,0.989,0.442,0.224,0.128,0.192,0.011,.426,.572,.279,.300,.350,.143,0.669,1.0,0.16,89,0.571,.250,0,0,
140,Ian Mahinmi,29.0,IND,C,71,71,1816.0,0.589,3.8,1.0,0.627,0.248,0.04,0.085,0.0,.589,.690,.486,.222,.316,,0.758,0.0,0.123,51,0.0,,0,0,
141,Nik Stauskas,22.0,PHI,SG,73,35,1809.0,0.385,16.8,0.404,0.251,0.057,0.026,0.07,0.596,.473,.547,.290,.357,.395,.326,0.558,0.915,0.039,18,0.323,.343,0,0,
142,Bismack Biyombo,23.0,TOR,C,82,22,1808.0,0.542,3.5,0.997,0.656,0.205,0.101,0.035,0.003,.544,.640,.322,.448,.300,.000,0.737,0.0,0.299,78,0.0,,0,0,
143,Amir Johnson,28.0,BOS,PF,79,76,1800.0,0.585,5.2,0.899,0.547,0.305,0.035,0.014,0.101,.624,.712,.508,.400,.333,.233,0.665,1.0,0.134,56,0.233,.500,1,0,
144,Chandler Parsons,27.0,DAL,SF,61,51,1799.0,0.492,13.6,0.614,0.3,0.138,0.052,0.126,0.386,.540,.713,.322,.412,.415,.414,0.481,0.865,0.034,22,0.175,.500,3,0,
145,Marc Gasol,31.0,MEM,C,52,52,1791.0,0.464,10.2,0.996,0.164,0.328,0.24,0.263,0.004,.463,.595,.448,.424,.435,.667,0.69,1.0,0.031,19,0.333,.000,0,0,
146,Chris Bosh,31.0,MIA,PF,53,53,1778.0,0.467,14.5,0.711,0.206,0.086,0.149,0.27,0.289,.508,.715,.364,.456,.425,.365,0.606,0.975,0.034,25,0.257,.386,0,0,AS
147,Cody Zeller,23.0,CHO,C,73,60,1774.0,0.529,4.9,0.977,0.648,0.151,0.041,0.137,0.023,.539,.640,.439,.222,.267,.100,0.787,1.0,0.195,78,0.2,.500,0,0,
148,Mike Conley,28.0,MEM,PG,56,56,1761.0,0.422,13.5,0.691,0.261,0.139,0.115,0.175,0.309,.449,.544,.402,.400,.377,.363,0.273,0.782,0.001,1,0.177,.421,2,0,
149,Thabo Sefolosha,31.0,ATL,SF,75,11,1758.0,0.505,12.1,0.669,0.417,0.067,0.048,0.137,0.331,.586,.665,.440,.444,.471,.341,0.705,0.952,0.043,16,0.512,.444,2,1,
150,Shane Larkin,23.0,BRK,PG,78,17,1751.0,0.442,11.9,0.785,0.319,0.149,0.1,0.217,0.215,.464,.600,.427,.340,.349,.361,0.339,0.59,0.0,0,0.194,.286,0,0,
151,Terrence Ross,24.0,TOR,SF,73,7,1747.0,0.431,18.9,0.458,0.086,0.061,0.123,0.19,0.542,.484,.704,.474,.468,.395,.386,0.54,0.947,0.035,22,0.295,.380,2,0,
152,Nikola Jokić,20.0,DEN,C,80,55,1733.0,0.512,7.6,0.86,0.418,0.293,0.078,0.068,0.14,.541,.622,.477,.447,.415,.333,0.595,0.929,0.018,11,0.143,.333,0,0,ROY-3
153,Andre Iguodala,32.0,GSW,SF,65,1,1732.0,0.478,14.5,0.582,0.31,0.063,0.073,0.136,0.418,.570,.728,.348,.407,.400,.351,0.631,0.944,0.141,49,0.377,.431,3,0,6MOY-2
154,Enes Freedom,23.0,OKC,C,82,1,1721.0,0.576,4.9,0.971,0.62,0.159,0.12,0.072,0.029,.579,.650,.447,.512,.365,.476,0.594,1.0,0.065,42,0.762,.500,1,0,6MOY-3
155,Frank Kaminsky,22.0,CHO,C,81,3,1708.0,0.41,12.6,0.615,0.331,0.187,0.04,0.057,0.385,.455,.523,.408,.238,.367,.337,0.578,0.985,0.034,15,0.129,.269,1,0,
156,Bradley Beal,22.0,WAS,SG,55,35,1708.0,0.449,14.5,0.661,0.229,0.114,0.139,0.179,0.339,.481,.639,.451,.405,.357,.387,0.429,0.8,0.029,21,0.155,.429,2,0,
157,Kenneth Faried,26.0,DEN,PF,67,64,1694.0,0.558,3.5,0.997,0.645,0.251,0.045,0.056,0.003,.558,.634,.452,.321,.343,.500,0.684,1.0,0.166,96,0.5,1.000,1,0,
158,Stanley Johnson,19.0,DET,SF,73,6,1687.0,0.375,13.2,0.658,0.255,0.173,0.117,0.113,0.342,.410,.569,.308,.357,.265,.307,0.346,0.889,0.02,10,0.4,.378,3,0,
