ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
451,Steve Novak,32.0,OKC,PF,7,0,24.0,0.5,22.3,0.25,0.0,0.0,0.083,0.167,0.75,.333,,,1.000,.000,.556,0.0,1.0,0.0,0,0.556,.600,0,0,
451,Steve Novak,32.0,MIL,PF,3,0,20.0,0.333,25.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,.333,0.0,1.0,0.0,0,0.167,1.000,0,0,
452,Bruno Caboclo,20.0,TOR,SF,6,1,43.0,0.083,18.9,0.417,0.0,0.167,0.083,0.167,0.583,.000,,.000,.000,.000,.143,0.0,1.0,0.0,0,0.714,.200,0,0,
453,Jodie Meeks,28.0,DET,SG,3,0,43.0,0.35,15.6,0.55,0.15,0.15,0.15,0.1,0.45,.273,.333,.000,.667,.000,.444,1.0,0.5,0.0,0,0.222,.000,0,0,
454,Luis Montero,22.0,POR,SG,12,0,42.0,0.263,18.3,0.526,0.211,0.105,0.0,0.211,0.474,.400,.500,.000,,.500,.111,0.25,0.0,0.0,0,0.111,.000,1,0,
455,Dahntay Jones,35.0,CLE,SF,1,0,42.0,0.429,11.1,0.857,0.286,0.214,0.143,0.214,0.143,.417,.000,.667,.500,.667,.500,0.4,1.0,0.0,0,0.5,1.000,0,0,
456,Erick Green,24.0,2TM,PG,9,0,42.0,0.385,20.5,0.615,0.0,0.154,0.154,0.308,0.385,.500,,.500,.500,.500,.200,0.0,1.0,0.0,0,0.0,,0,0,
456,Erick Green,24.0,DEN,PG,3,0,7.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,.000,0.0,0.0,0.0,0,0.0,,0,0,
456,Erick Green,24.0,UTA,PG,6,0,35.0,0.417,17.0,0.667,0.0,0.167,0.167,0.333,0.333,.500,,.500,.500,.500,.250,0.0,1.0,0.0,0,0.0,,0,0,
457,Shayne Whittington,24.0,IND,PF,7,0,41.0,0.455,7.1,0.818,0.636,0.091,0.0,0.091,0.182,.556,.714,.000,,.000,.000,0.4,0.0,0.0,0,0.0,,0,0,
458,Bryce Cotton,23.0,2TM,PG,8,0,39.0,0.4,15.9,0.7,0.1,0.2,0.0,0.4,0.3,.571,.000,.500,,.750,.000,0.25,0.0,0.0,0,0.0,,0,0,
458,Bryce Cotton,23.0,PHO,PG,3,0,33.0,0.25,15.3,0.625,0.125,0.25,0.0,0.25,0.375,.400,.000,.500,,.500,.000,0.5,0.0,0.0,0,0.0,,0,0,
458,Bryce Cotton,23.0,MEM,PG,5,0,6.0,1.0,16.5,1.0,0.0,0.0,0.0,1.0,0.0,1.000,,,,1.000,,0.0,0.0,0.0,0,0.0,,0,0,
459,Cliff Alexander,20.0,POR,PF,8,0,36.0,0.5,7.4,1.0,0.4,0.3,0.1,0.2,0.0,.500,1.000,.000,.000,.500,,0.4,0.0,0.2,2,0.0,,0,0,
460,Justin Harper,26.0,DET,PF,5,0,35.0,0.4,24.5,0.1,0.0,0.0,0.0,0.1,0.9,.000,,,,.000,.444,0.0,1.0,0.0,0,0.0,,0,0,
461,Branden Dawson,22.0,LAC,PF,6,0,29.0,0.4,2.8,1.0,0.6,0.4,0.0,0.0,0.0,.400,.333,.500,,,,0.5,0.0,0.0,0,0.0,,0,0,
